epoch,accuracy,loss,val_accuracy,val_loss
0,0.3672848,1.3193483529841836,0.45821326971054077,1.2480049380651468
1,0.6570717,0.9667850397083854,0.651296854019165,0.8991055241235738
2,0.7982286,0.5767611006340293,0.6974063515663147,0.7939068281684898
3,0.84777194,0.41572975443401333,0.7118155360221863,0.8186186716948187
4,0.8862441,0.3255516588110492,0.7002881765365601,0.8525836089846036
5,0.90644896,0.26851264426756394,0.6829971075057983,0.9473505030447881
6,0.92776084,0.22133574731093247,0.680115282535553,1.0160859867887468
7,0.9402159,0.190538624725842,0.6887608170509338,1.0733033968323589
8,0.94990313,0.16081836188628076,0.680115282535553,1.1631663824708043
9,0.9593136,0.1389732275198379,0.6714697480201721,1.1640413339955662
10,0.9629117,0.1264880861795216,0.6829971075057983,1.2621263368672528
11,0.96844727,0.11491132006275993,0.6685879230499268,1.2985412016382134
12,0.9678937,0.10692695278644462,0.7060518860816956,1.364660686993118
13,0.9678937,0.10135698796902341,0.6657060384750366,1.3812368747480321
14,0.97093827,0.08965798388829431,0.6685879230499268,1.4249074905681336
15,0.9728757,0.08742857263329416,0.6685879230499268,1.4566899981210142
16,0.9717686,0.08369721649196582,0.6599423885345459,1.5103525813099974
17,0.9756435,0.0788616934533953,0.6628242135047913,1.5366153442206918
18,0.97508997,0.0733693772924349,0.6685879230499268,1.5755314208588613
19,0.97508997,0.07111200519832026,0.6599423885345459,1.6268884180602148
20,0.9742596,0.0689187051206126,0.651296854019165,1.6421760619545533
21,0.9778577,0.06547294758206634,0.6685879230499268,1.7075757025298193
22,0.97647387,0.06353789610376309,0.6570605039596558,1.6921763921677206
23,0.9742596,0.0676424105476651,0.6628242135047913,1.7111355262118733
24,0.97896487,0.05850840068182274,0.651296854019165,1.7860251180720261
